event_date,contract,source_market,target_market,lag_minute,FEVD
2024-06-12,0bp,CME,PM,60,0.0010523749922751744
2024-06-12,0bp,PM,CME,1,0.00010677636034051948
2024-06-12,0bp,PM,CME,5,0.0002248788575289548
2024-06-12,0bp,PM,CME,30,0.0006068963523965601
2024-06-12,0bp,PM,CME,60,0.0010794556710671127
2024-06-12,0bp,CME,KAL,1,5.644884079754211e-05
2024-06-12,0bp,CME,KAL,5,0.00021570543250275232
2024-06-12,0bp,CME,KAL,30,0.0020495942460760867
2024-06-12,0bp,CME,KAL,60,0.006204747639349807
2024-06-12,0bp,KAL,CME,1,2.8067168734655345e-05
2024-06-12,0bp,KAL,CME,5,8.466705028411556e-05
2024-06-12,0bp,KAL,CME,30,0.0012143376163784218
2024-06-12,0bp,KAL,CME,60,0.0025630177280701405
2024-06-12,0bp,PM,KAL,1,0.0030581041892633405
2024-06-12,0bp,PM,KAL,5,0.003082756186746219
2024-06-12,0bp,PM,KAL,30,0.003828666880837751
2024-06-12,0bp,PM,KAL,60,0.005209507369928603
2024-06-12,0bp,KAL,PM,1,0.003062487315357901
2024-06-12,0bp,KAL,PM,5,0.00594767639549204
2024-06-12,0bp,KAL,PM,30,0.0069478967285811774
2024-06-12,0bp,KAL,PM,60,0.00802079941964993
2024-07-31,0bp,CME,PM,1,6.427030157510089e-05
2024-07-31,0bp,CME,PM,5,0.00030562869033315046
2024-07-31,0bp,CME,PM,30,0.001399223626149434
2024-07-31,0bp,CME,PM,60,0.0022380167201133025
2024-07-31,0bp,PM,CME,1,2.3918466713916538e-05
2024-07-31,0bp,PM,CME,5,0.00013202544437509553
2024-07-31,0bp,PM,CME,30,0.0014973009194824566
2024-07-31,0bp,PM,CME,60,0.0031139033889116823
2024-07-31,0bp,CME,KAL,1,0.00022743936737987648
2024-07-31,0bp,CME,KAL,5,0.007826936372808999
2024-07-31,0bp,CME,KAL,30,0.011619731051538825
2024-07-31,0bp,CME,KAL,60,0.012715792989687865
2024-07-31,0bp,KAL,CME,1,5.795302334994075e-05
2024-07-31,0bp,KAL,CME,5,0.00015138564082728853
2024-07-31,0bp,KAL,CME,30,0.0028369015379537646
2024-07-31,0bp,KAL,CME,60,0.009694883689807648
2024-07-31,0bp,PM,KAL,1,0.00045464921135739513
2024-07-31,0bp,PM,KAL,5,0.0016793494922505304
2024-07-31,0bp,PM,KAL,30,0.002689799646968318
2024-07-31,0bp,PM,KAL,60,0.007128038555762503
2024-07-31,0bp,KAL,PM,1,5.412622135565295e-05
2024-07-31,0bp,KAL,PM,5,0.00010740856687949647
2024-07-31,0bp,KAL,PM,30,0.006124020513659586
2024-07-31,0bp,KAL,PM,60,0.007577300045529731
2024-11-07,0bp,CME,PM,1,0.0011770326965965395
2024-11-07,0bp,CME,PM,5,0.0018371228062110233
2024-11-07,0bp,CME,PM,30,0.003920784451399993
2024-11-07,0bp,CME,PM,60,0.005554214084737984
2024-11-07,0bp,PM,CME,1,6.770739822207909e-05
2024-11-07,0bp,PM,CME,5,0.0002894704086322418
2024-11-07,0bp,PM,CME,30,0.0018421412342802957
2024-11-07,0bp,PM,CME,60,0.0035738019134119244
2024-11-07,0bp,CME,KAL,1,0.001748061102587505
2024-11-07,0bp,CME,KAL,5,0.004464204118603414
