time,effr_avg_jan,effr_avg_feb,effr_start_feb,effr_end_jan,volume,effr_start_jan,delta_effr,num_hikes,hikes_floor,hikes_decimal,prob_cut_100,prob_cut_75,prob_cut_50,prob_cut_25,prob_no_change,prob_hike_25,prob_hike_50,prob_hike_75,prob_hike_100
2023-11-14 13:54:00+00:00,5.334999999999994,5.344999999999999,5.344999999999999,5.344999999999999,248.0,5.330238095238087,0.014761904761911637,0.05904761904764655,0.0,0.05904761904764655,0.0,0.0,0.0,0.0,0.9409523809523535,0.05904761904764655,0.0,0.0,0.0
2023-11-14 13:55:00+00:00,5.334999999999994,5.344999999999999,5.344999999999999,5.344999999999999,1381.0,5.330238095238087,0.014761904761911637,0.05904761904764655,0.0,0.05904761904764655,0.0,0.0,0.0,0.0,0.9409523809523535,0.05904761904764655,0.0,0.0,0.0
2023-11-14 13:56:00+00:00,5.329999999999998,5.340000000000003,5.340000000000003,5.340000000000003,1.0,5.325238095238092,0.014761904761911637,0.05904761904764655,0.0,0.05904761904764655,0.0,0.0,0.0,0.0,0.9409523809523535,0.05904761904764655,0.0,0.0,0.0
2023-11-14 13:57:00+00:00,5.334999999999994,5.340000000000003,5.340000000000003,5.340000000000003,500.0,5.332619047619037,0.007380952380966477,0.029523809523865907,0.0,0.029523809523865907,0.0,0.0,0.0,0.0,0.9704761904761341,0.029523809523865907,0.0,0.0,0.0
2023-11-14 14:00:00+00:00,5.334999999999994,5.340000000000003,5.340000000000003,5.340000000000003,1.0,5.332619047619037,0.007380952380966477,0.029523809523865907,0.0,0.029523809523865907,0.0,0.0,0.0,0.0,0.9704761904761341,0.029523809523865907,0.0,0.0,0.0
2023-11-14 14:01:00+00:00,5.334999999999994,5.340000000000003,5.340000000000003,5.340000000000003,187.0,5.332619047619037,0.007380952380966477,0.029523809523865907,0.0,0.029523809523865907,0.0,0.0,0.0,0.0,0.9704761904761341,0.029523809523865907,0.0,0.0,0.0
2023-11-14 14:04:00+00:00,5.329999999999998,5.340000000000003,5.340000000000003,5.340000000000003,10.0,5.325238095238092,0.014761904761911637,0.05904761904764655,0.0,0.05904761904764655,0.0,0.0,0.0,0.0,0.9409523809523535,0.05904761904764655,0.0,0.0,0.0
2023-11-14 14:06:00+00:00,5.334999999999994,5.340000000000003,5.340000000000003,5.340000000000003,47.0,5.332619047619037,0.007380952380966477,0.029523809523865907,0.0,0.029523809523865907,0.0,0.0,0.0,0.0,0.9704761904761341,0.029523809523865907,0.0,0.0,0.0
2023-11-14 14:08:00+00:00,5.329999999999998,5.334999999999994,5.334999999999994,5.334999999999994,541.0,5.327619047619049,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
2023-11-14 14:09:00+00:00,5.334999999999994,5.334999999999994,5.334999999999994,5.334999999999994,5.0,5.334999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2023-11-14 14:11:00+00:00,5.329999999999998,5.334999999999994,5.334999999999994,5.334999999999994,50.0,5.327619047619049,0.0073809523809451605,0.029523809523780642,0.0,0.029523809523780642,0.0,0.0,0.0,0.0,0.9704761904762194,0.029523809523780642,0.0,0.0,0.0
