id,transactionHash,timestamp,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,fee,outcome,datetime,side,usdc_amount,token_amount,price,yes_price,no_price
0xdb85e7510cee7cc5080079b869663b3467006baf751304e99d4b67980575be09_0x68d2b7a9476c5b842b1727c91fdf12cca741e3cd92f213fc30162e1bfad57df6,0xdb85e7510cee7cc5080079b869663b3467006baf751304e99d4b67980575be09,1717220909,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,2.068251,1.999998,0.0,YES,2024-06-01 05:48:29+00:00,SELL,1.999998,2.068251,0.9669996533302776,0.9669996533302776,0.033
0x927ccebc701bd407e23a24ddb339324a22d1e74df411df9ee468b86ccebeb2c4_0x68d2b7a9476c5b842b1727c91fdf12cca741e3cd92f213fc30162e1bfad57df6,0x927ccebc701bd407e23a24ddb339324a22d1e74df411df9ee468b86ccebeb2c4,1717221173,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,2.068251,1.999998,0.0,YES,2024-06-01 05:52:53+00:00,SELL,1.999998,2.068251,0.9669996533302776,0.9669996533302776,0.033
0x790b139696afe0a60a537e762f42162140d01cfeea0d830683fb72314b1c00cd_0x68d2b7a9476c5b842b1727c91fdf12cca741e3cd92f213fc30162e1bfad57df6,0x790b139696afe0a60a537e762f42162140d01cfeea0d830683fb72314b1c00cd,1717221367,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.01034,0.009998,0.0,YES,2024-06-01 05:56:07+00:00,SELL,0.009998,0.01034,0.9669245647969053,0.9669245647969053,0.033075
0xf46f5b4b707a9c802eb59ba11694b733b5b3af23d4cc7aac701f54c81d06c0e6_0x68d2b7a9476c5b842b1727c91fdf12cca741e3cd92f213fc30162e1bfad57df6,0xf46f5b4b707a9c802eb59ba11694b733b5b3af23d4cc7aac701f54c81d06c0e6,1717221433,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,2.068251,1.999998,0.0,YES,2024-06-01 05:57:13+00:00,SELL,1.999998,2.068251,0.9669996533302776,0.9669996533302776,0.033
0x8803068bc0b8e3130528b7ed2c5ab3a7ff49bafcefaa2ec62e01ecd4cd7887d3_0x68d2b7a9476c5b842b1727c91fdf12cca741e3cd92f213fc30162e1bfad57df6,0x8803068bc0b8e3130528b7ed2c5ab3a7ff49bafcefaa2ec62e01ecd4cd7887d3,1717224603,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,227.394001,219.889998,0.0,YES,2024-06-01 06:50:03+00:00,SELL,219.889998,227.394001,0.9669999957474691,0.9669999957474691,0.033
0x491fd31b55250756b28d5280dbe0d46be7070f84e713052506d0f756ad2bf8b5_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0x491fd31b55250756b28d5280dbe0d46be7070f84e713052506d0f756ad2bf8b5,1717229519,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010234,0.009998,0.0,YES,2024-06-01 08:11:59+00:00,SELL,0.009998,0.010234,0.9769396130545241,0.9769396130545241,0.02306
0x567c32a3a9ded21185da232e97a0f644eebe74da8ab4097a933d5540d7c50a06_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0x567c32a3a9ded21185da232e97a0f644eebe74da8ab4097a933d5540d7c50a06,1717230389,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,1.637665,1.599998,0.0,YES,2024-06-01 08:26:29+00:00,SELL,1.599998,1.637665,0.9769995695090267,0.9769995695090267,0.023
0xc06f488178cb43a7754a6bf18f42e25cf021f5ad2dd736aa9088473cd3894238_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0xc06f488178cb43a7754a6bf18f42e25cf021f5ad2dd736aa9088473cd3894238,1717233549,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010234,0.009998,0.0,YES,2024-06-01 09:19:09+00:00,SELL,0.009998,0.010234,0.9769396130545241,0.9769396130545241,0.02306
0x79046aaada748952f6fa777c172cfd41117eee7c977b39d1aa2da1e5b58ad756_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0x79046aaada748952f6fa777c172cfd41117eee7c977b39d1aa2da1e5b58ad756,1717233921,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010234,0.009998,0.0,YES,2024-06-01 09:25:21+00:00,SELL,0.009998,0.010234,0.9769396130545241,0.9769396130545241,0.02306
0xe1d7b3dc32b439b6987f64dd70671cf21d748a8614896840d0138eb95ae1ca98_0x39b6ee5f0a8921dc2bcc422060b2db4dec9dce57c0aa9ab52d5a3cbf882a3797,0xe1d7b3dc32b439b6987f64dd70671cf21d748a8614896840d0138eb95ae1ca98,1717244919,88465704193015812461296177724920569739949794882741848131901008619945303668495,0,0.010234,0.009998,0.0,YES,2024-06-01 12:28:39+00:00,SELL,0.009998,0.010234,0.9769396130545241,0.9769396130545241,0.02306
